,fittedResiduals
152,0.006878255579819956
153,0.0068268607857667005
154,0.0021268871900140818
155,0.011442521107127391
156,0.006953307676824958
157,0.00638461037051569
158,0.007254025042012179
159,0.005907275330892633
160,0.006628546777587594
161,0.006587449433650798
162,0.007076922868134102
163,0.007190557782648556
164,-0.06328142251476654
165,0.06843578209497515
166,0.0062370174266964465
167,0.009772696094503104
168,-0.0009732404622931484
169,-0.14069577935533495
170,-0.0551456690251344
171,-0.034400612648633366
172,-0.10342605520747927
173,-0.13257717164816984
174,0.14223335449298968
175,0.19917497556791308
176,0.0909294132234689
177,-0.08291871141410123
178,-0.05505706767972174
179,-0.09132984336654326
180,-0.12433370633970942
181,-0.04430360133144218
182,-0.0028584724908431447
183,-0.12450533650438222
184,0.1274609265389226
185,0.04912768932206202
186,0.16302049989996736
187,0.011357911093844875
188,-0.10674967384544432
189,0.14304186002478525
190,-0.06455214292708256
191,-0.009090206089478192
192,-0.08095194525706084
193,0.07453895361808471
194,0.04998671236673213
195,-0.01968353432355996
196,-0.03050465312192374
197,0.17177517886234853
198,0.01735714361355467
199,0.005130006595168016
200,0.004437672826683326
201,0.005168783882599268
202,0.0019871450942021626
203,-0.00825365513064047
204,0.02147478369554954
205,-0.01671781013665974
206,0.025194272008118284
207,0.005633475742833273
208,0.005887943892188078
209,0.006281876266003196
210,0.005114815567203667
211,0.005090607836655461
212,0.005066628169340254
213,0.005042873357456168
214,0.005019340253079304
215,0.004996025766773101
216,0.004972926866236275
217,0.00495004057498808
218,0.004927363971089731
219,0.004904894185900783
220,0.004882628402869409
221,0.004729690639514637
222,0.0049656204828089304
223,0.004817027658243295
224,0.004795550719562669
225,0.004774264441508117
226,0.004753166296421592
227,0.0047322538011285884
228,0.0047115245159638644
229,0.004690976043822659
230,0.004670606029236632
231,0.004519734321674263
232,0.004757290335624348
233,0.003304136086012573
234,0.005076065387413203
235,0.005071491995204456
236,-0.009819886227429075
237,-0.03635577606298018
238,-0.012699494133253442
239,0.0702628619453334
240,-0.0009585446462634928
241,-0.005039452831977126
242,-0.037149189779959846
243,-0.06125302066941207
244,0.032736450162412
245,-0.00292703774535652
246,0.06957550007365373
247,-0.1329368566662421
248,-0.5083368516676003
249,0.10290833889027962
250,-0.3459794373216374
251,0.15411133529675602
252,0.24009856258527762
253,0.21312477414552622
254,-0.4285650937383547
255,0.04607479000160186
256,-0.0465008907964668
257,0.010729548067363481
258,-0.27042776337787977
259,-0.028467690540134427
260,-0.1084605310362372
261,0.23859439074359035
262,0.2242000325356095
263,0.1627575866583828
264,0.15943167989892237
265,0.07273129002519307
266,-0.2859874730543095
267,0.05714275696095639
268,0.11607740740069561
269,0.014354539943411515
270,0.09392608345993914
271,-0.011818603995128352
272,0.07611636805422788
273,-0.005021312974119757
274,0.0015127264722658573
275,-0.04859217189162657
276,0.049825721796900535
277,-0.010891673808939462
278,0.02449138218494823
279,0.018891125311109064
280,0.003917495156403479
281,0.003777213914675682
