,fittedResiduals
292,-0.006343756971054493
293,0.21631664744953627
294,-0.062127273665463556
295,-0.016285096174951996
296,0.07561059466505596
297,-0.09618753863383733
298,0.0638657515884351
299,0.02431488697378864
300,-0.019227121625235544
301,-0.05996931939991079
302,-0.034055504234817624
303,-0.059825359287463575
304,-0.1566407726517407
305,0.2880767068613148
306,-0.05652886342348795
307,-0.12789407537799846
308,-0.052322627048070114
309,-0.4283089637213342
310,-0.19164085526105978
311,-0.11734864643001686
312,-0.12309392819049769
313,-0.20669253804832088
314,-0.44725636268244173
315,-0.13603828522446904
316,0.21973563876873214
317,-0.03517408333026495
318,0.9048733614005329
319,0.5081683063458975
320,-0.35139460739488015
321,-0.5116631514038819
322,-0.13973842408978143
323,0.10002573173913021
324,-0.2927375442533151
325,0.21339307438494082
326,-0.5028934325598229
327,0.42793386057971716
328,1.0429094228236906
329,0.12940980734398222
330,0.29583430213438755
331,-0.11719652133621564
332,0.040305322747334844
333,-0.11565593740571223
334,-0.4123067560166209
335,0.13909554967776394
336,0.36376977635496677
337,-0.2736667026953232
338,-1.4445149799988872
339,0.562227822055954
340,1.2156097338179683
341,-0.0826717103158619
342,0.05605892340682943
343,-0.021555440046816643
344,0.009403208350229859
345,-0.010863519711261697
346,-0.03136492858766343
347,-0.2532122648842239
348,-1.04670804708587
349,0.6039173662781234
350,-1.1426029324284208
351,0.4073114878218256
352,-0.19132128428142536
353,-0.17625727339555652
354,-0.05651724203083219
355,0.5708992011634368
356,-0.3702432066700574
357,-0.12475141252016897
358,-0.16550193062778007
359,0.05178947308464288
360,0.004975206723553782
361,0.21207017095278502
362,-0.29622909489178895
363,0.36697260813091503
364,-0.13080962295261145
365,-0.14644420398590086
366,-0.006406971766445224
367,-0.025358740530897705
368,0.012530703233622376
369,0.7727113828919805
370,0.7338731714196598
371,-0.6188403728246517
372,-0.6550061898649098
373,0.1671907514353883
374,0.4130890268226519
375,-0.022113672887803304
376,-0.1115599353172243
377,-0.2940967856002903
378,0.2645299859354395
379,0.203018828318827
380,0.3632340593465404
381,-0.14743587870438368
382,-0.25898511631209864
383,-0.2719297207948319
384,-0.09632788999171993
385,-0.12651311023181222
386,-0.006439033312556575
387,0.14616619168656086
388,0.09509221115600752
389,-0.21870236314310532
390,-0.0693800262574662
391,0.49309208341580124
392,-0.30834085515789766
393,0.28631605603093924
394,0.24546040262877966
395,-1.1752948525992224
396,1.148942671115588
397,-0.2062534757168759
398,0.08602763711012962
399,-0.15751338038161045
400,0.05933930196441928
401,0.013639456713828935
402,-0.025436806541607737
403,-0.6265154879479695
404,0.5044872787285293
405,-0.26806215842185566
406,0.09967705843657626
407,0.05203626361298852
408,-0.09953359851049726
409,-0.18280774938539324
410,0.0770782674771695
411,-0.21460368225897852
412,0.04332652988246011
413,-0.09136235444051977
414,0.2624412041238777
415,-0.011678912629154325
416,0.5280523246329292
417,0.1291750396800584
418,0.4049012325920982
419,-0.615919360539257
420,0.4271197808883809
421,0.04234402629043288
422,-0.20048055660947206
423,-0.30170766290749995
424,-0.09840729898529155
425,0.033213329289075944
426,-0.2842050385105246
427,0.4847043246077618
428,-0.9380333341741647
429,0.4553538459834634
430,-0.35971866896985816
431,0.11503264618380271
432,-0.05219153868175752
433,0.023904729145058923
434,0.04347533797184866
435,0.09324238130238527
436,0.011389368843222059
437,0.08174991935008791
438,0.3463826100221663
439,-0.1515846972417112
440,-0.2624299797007694
441,-0.010603354711683721
442,0.08045706242121042
443,0.015281317019265828
444,-0.0605820219002311
445,-0.08427164755944716
446,-0.19144527071835427
447,0.0777053085305397
448,-0.06427740606724441
449,0.016378786546901836
450,-9.136408499088589e-05
451,0.05130220120340212
452,0.18929684644006528
453,0.1102314062542078
454,-0.21132069681681998
455,0.6974671835129609
456,-0.5731836067796063
457,0.2444662492785934
458,0.02877337993989748
459,0.867690427103418
460,0.23392529630926928
461,-0.04257866926971232
462,-0.25786519415860365
463,0.4676219706050193
464,-0.4722434031126763
465,0.06785262838812223
466,-0.2926537445472439
467,-0.08229078362041875
468,-0.6321546474437483
469,-0.2731202450164467
470,-0.11168903579747891
471,0.008583726751005827
