t,p,fittedValue,UpperBound,LowerBound
2000-12-02 04:00:00,7.745,8.0601411372925,10.5498074346044,5.57047483998062
2000-12-02 05:00:00,7.503,7.2489418839763,9.79701206724806,4.70087170070454
2000-12-02 06:00:00,7.303,7.15347893797891,9.63435649156708,4.67260138439075
2000-12-02 07:00:00,8.677,6.94190408056413,10.2183840680686,3.66542409305965
2000-12-02 08:00:00,9.241,8.59559255174545,12.2099914020112,4.98119370147965
2000-12-02 09:00:00,9.507,8.87273957994764,12.3119248046398,5.43355435525548
2000-12-02 10:00:00,13.877,9.11947713173631,12.1803031788638,6.05865108460879
2000-12-02 11:00:00,10.066,14.1667992229959,16.8541477166729,11.4794507293188
2000-12-02 12:00:00,8.204,8.55070364475992,10.9454163594781,6.15599093004171
2000-12-02 13:00:00,7.318,7.67185848604163,9.80836822287085,5.5353487492124
2000-12-02 14:00:00,9.829,6.83979912666414,8.74300497470999,4.93659327861828
2000-12-02 15:00:00,10.365,9.96471775601031,12.0034013690608,7.92603414295979
2000-12-02 16:00:00,9.833,9.86964760812167,12.4097032878692,7.32959192837417
2000-12-02 17:00:00,9.644,9.27019841940927,12.3276466529232,6.21275018589532
2000-12-02 18:00:00,8.437,9.18777560659804,13.0633964752984,5.31215473789768
2000-12-02 19:00:00,5.779,7.79699219340145,11.2213490958915,4.3726352909114
2000-12-02 20:00:00,9.091,5.01333466846966,8.63350601964196,1.39316331729737
2000-12-02 21:00:00,9.178,9.52420583170692,12.7281753200868,6.32023634332704
2000-12-02 22:00:00,7.359,8.58486008977677,13.2532291226432,3.91649105691039
2000-12-02 23:00:00,5.355,6.67699671617717,10.7918510636672,2.56214236868713
2000-12-03 00:00:00,3.675,4.77655173022688,8.3880050937428,1.16509836671096
2000-12-03 01:00:00,5.151,3.25283432031411,6.43246214930035,0.0732064913278685
2000-12-03 02:00:00,1.779,5.32846138605462,8.31376208737593,2.34316068473332
2000-12-03 03:00:00,5.575,0.910899455996092,3.54405369722489,0
2000-12-03 04:00:00,6.058,6.3641463281849,8.68768108414351,4.0406115722263
2000-12-03 05:00:00,4.22,5.66986779713137,7.72977020748394,3.6099653867788
2000-12-03 06:00:00,3.093,3.68325836572594,5.52099033160055,1.84552639985134
2000-12-03 07:00:00,2.699,2.82534173674294,4.47719673171363,1.17348674177225
2000-12-03 08:00:00,2.983,2.56312013718661,4.06693019961523,1.05931007475799
2000-12-03 09:00:00,2.7,2.9553510103337,4.33510628085944,1.57559573980797
2000-12-03 10:00:00,0.9,2.53428620797332,3.81198716688463,1.25658524906201
2000-12-03 11:00:00,0.672,0.529012728741612,1.45095147763919,0
2000-12-03 12:00:00,0.057,0.725455973563569,1.64455451568445,0
2000-12-03 13:00:00,0.011,-0.0382110372210132,0.878419855734905,0
2000-12-03 14:00:00,0.003,0.0842896439634185,0.998887908768873,0
2000-12-03 15:00:00,0.012,0.0466762476442836,0.959509386768469,0
2000-12-03 16:00:00,0.009,0.0658684162362271,0.977171063322858,0
2000-12-03 17:00:00,0.008,0.0579354125081665,0.967937097657931,0
2000-12-03 18:00:00,0.086,0.0585980710722156,0.967246209867266,0
2000-12-03 19:00:00,2.757,0.149550956603406,1.05695491629179,0
2000-12-03 20:00:00,1.943,3.24835179692639,4.15483579641413,2.34186779743864
2000-12-03 21:00:00,0.829,1.58247753950142,2.49889941032421,0.666055668678628
2000-12-03 22:00:00,1.423,0.66572986514895,1.5796972524506,0
2000-12-03 23:00:00,1.79,1.57109144897673,2.48775509440858,0.654427803544885
2000-12-04 00:00:00,1.443,1.79082765621793,2.70994622142519,0.871709091010674
2000-12-04 01:00:00,2.91,1.33481558452205,2.67516883023676,0
2000-12-04 02:00:00,2.528,3.1535384437664,4.4046350337282,1.90244185380459
2000-12-04 03:00:00,4.019,2.28765095055623,3.72491514210728,0.85038675900518
2000-12-04 04:00:00,2.544,4.22899240942047,5.55396291539057,2.90402190345036
2000-12-04 05:00:00,3.234,2.05815918922975,3.5891848647308,0.527133513728707
2000-12-04 06:00:00,3.532,3.36505354176002,4.79079103416563,1.93931604935442
2000-12-04 07:00:00,3.248,3.41153532311188,4.87922132845882,1.94384931776495
2000-12-04 08:00:00,6.326,3.06909025039343,4.95416461065554,1.18401589013132
2000-12-04 09:00:00,7.037,6.74329080093551,8.44851912838197,5.03806247348904
2000-12-04 10:00:00,12.142,6.72586813105128,8.27324473478033,5.17849152732223
2000-12-04 11:00:00,12.569,12.6926469081155,14.1065234100365,11.2787704061945
2000-12-04 12:00:00,12.367,11.8144524593285,13.2459857036762,10.3829192149808
2000-12-04 13:00:00,10.526,11.7811707723757,13.1967984374688,10.3655431072826
